"Name","Total Time","Total Time (CPU)","Hits"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-9","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-10","47.294 ms (-0 %)","196 ms (-0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","196 ms (-0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","196 ms (-0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","196 ms (-0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","196 ms (-0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.097 ms (-0 %)","0,0 ms (0 %)","2"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.097 ms (-0 %)","0,0 ms (0 %)","2"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.097 ms (-0 %)","0,0 ms (0 %)","2"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.097 ms (-0 %)","0,0 ms (0 %)","2"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","196 ms (-0 %)","196 ms (-0 %)","1"
"      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","196 ms (-0 %)","196 ms (-0 %)","1"
"       org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","196 ms (-0 %)","196 ms (-0 %)","1"
"        org.apache.coyote.AbstractProcessorLight.process ()","196 ms (-0 %)","196 ms (-0 %)","1"
"         org.apache.coyote.http11.Http11Processor.service ()","196 ms (-0 %)","196 ms (-0 %)","1"
"          org.apache.catalina.connector.CoyoteAdapter.service ()","196 ms (-0 %)","196 ms (-0 %)","1"
"           org.apache.catalina.core.StandardEngineValve.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"            org.apache.catalina.valves.ErrorReportValve.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"             org.apache.catalina.core.StandardHostValve.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"              org.apache.catalina.authenticator.AuthenticatorBase.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"               org.apache.catalina.core.StandardContextValve.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                org.apache.catalina.core.StandardWrapperValve.invoke ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                 org.apache.catalina.core.ApplicationFilterChain.doFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                   org.springframework.web.filter.OncePerRequestFilter.doFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                    org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                     org.apache.catalina.core.ApplicationFilterChain.doFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                      org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                       org.springframework.web.filter.OncePerRequestFilter.doFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                        org.springframework.web.filter.FormContentFilter.doFilterInternal ()","196 ms (-0 %)","196 ms (-0 %)","1"
"                         org.apache.catalina.core.ApplicationFilterChain.doFilter ()","196 ms (-0 %)","196 ms (-0 %)","1"
