"Name","Live Bytes","Live Objects"
"sun.nio.fs.WindowsPath","2.920 B (0 %)","73 (0 %)"
"javax.management.MBeanAttributeInfo[]","2.904 B (0 %)","58 (0 %)"
"java.util.ResourceBundle$CacheKey","2.880 B (0 %)","40 (0 %)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","2.832 B (0 %)","118 (0 %)"
"org.thymeleaf.engine.ElementDefinitions$HTMLElementDefinitionSpec","2.832 B (0 %)","118 (0 %)"
"java.util.concurrent.ConcurrentLinkedDeque$Node","2.808 B (0 %)","117 (0 %)"
"java.nio.StringCharBuffer","2.800 B (0 %)","50 (0 %)"
"org.springframework.util.LinkedCaseInsensitiveMap$1","2.752 B (0 %)","43 (0 %)"
"java.text.DecimalFormat","2.736 B (0 %)","19 (0 %)"
"javax.management.MBeanInfo","2.736 B (0 %)","57 (0 %)"
"java.lang.invoke.DirectMethodHandle$Accessor","2.720 B (0 %)","68 (0 %)"
"java.lang.management.MonitorInfo[]","2.704 B (0 %)","169 (0,1 %)"
"sun.reflect.generics.tree.FieldTypeSignature[]","2.704 B (0 %)","131 (0 %)"
"java.lang.management.LockInfo[]","2.704 B (0 %)","169 (0,1 %)"
"java.util.Collections$SingletonList","2.640 B (0 %)","110 (0 %)"
"java.util.regex.Pattern","2.640 B (0 %)","30 (0 %)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadata","2.632 B (0 %)","47 (0 %)"
"java.rmi.server.UID","2.624 B (0 %)","82 (0 %)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","2.624 B (0 %)","24 (0 %)"
"java.io.File","2.592 B (0 %)","81 (0 %)"
"sun.rmi.transport.ConnectionInputStream","2.592 B (0 %)","36 (0 %)"
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source","2.592 B (0 %)","81 (0 %)"
"org.springframework.core.type.classreading.SimpleMethodMetadata","2.592 B (0 %)","81 (0 %)"
"java.util.ResourceBundle$KeyElementReference","2.560 B (0 %)","80 (0 %)"
"java.io.ObjectStreamField[]","2.544 B (0 %)","88 (0 %)"
"org.springframework.util.MimeType","2.528 B (0 %)","79 (0 %)"
"java.util.zip.Inflater$InflaterZStreamRef","2.496 B (0 %)","104 (0 %)"
"java.util.Collections$SetFromMap","2.496 B (0 %)","104 (0 %)"
"java.lang.annotation.Annotation[]","2.464 B (0 %)","106 (0 %)"
"org.thymeleaf.engine.Text","2.408 B (0 %)","43 (0 %)"
"java.util.zip.ZipFile$CleanableResource","2.400 B (0 %)","75 (0 %)"
"sun.rmi.transport.ConnectionOutputStream","2.368 B (0 %)","37 (0 %)"
"java.io.ObjectStreamClass$ClassDataSlot","2.352 B (0 %)","98 (0 %)"
"java.io.ObjectInputStream$BlockDataInputStream","2.352 B (0 %)","42 (0 %)"
"java.security.Provider$ServiceKey","2.352 B (0 %)","98 (0 %)"
"java.lang.management.LockInfo","2.304 B (0 %)","96 (0 %)"
"java.lang.RuntimePermission","2.256 B (0 %)","94 (0 %)"
"javax.management.MBeanAttributeInfo","2.176 B (0 %)","68 (0 %)"
"org.springframework.http.HttpStatus","2.176 B (0 %)","68 (0 %)"
"java.util.ArrayDeque","2.136 B (0 %)","89 (0 %)"
"java.security.Provider$Service","2.128 B (0 %)","38 (0 %)"
"java.lang.invoke.DirectMethodHandle$Interface","2.120 B (0 %)","53 (0 %)"
"java.lang.invoke.LambdaForm$Kind","2.112 B (0 %)","66 (0 %)"
"sun.reflect.generics.repository.MethodRepository","2.080 B (0 %)","52 (0 %)"
"java.io.RandomAccessFile","2.080 B (0 %)","65 (0 %)"
"java.lang.invoke.BoundMethodHandle$Species_LL","2.080 B (0 %)","52 (0 %)"
"java.lang.Character","2.048 B (0 %)","128 (0 %)"
"org.thymeleaf.engine.Attribute","2.016 B (0 %)","42 (0 %)"
"java.util.GregorianCalendar","2.016 B (0 %)","18 (0 %)"
"java.security.AccessControlContext","2.000 B (0 %)","50 (0 %)"
"org.apache.catalina.util.ManifestResource","1.984 B (0 %)","62 (0 %)"
"com.sun.management.internal.DiagnosticCommandInfo","1.968 B (0 %)","41 (0 %)"
"org.springframework.asm.Type","1.952 B (0 %)","61 (0 %)"
"jdk.internal.loader.BuiltinClassLoader$LoadedModule","1.920 B (0 %)","60 (0 %)"
"org.springframework.core.annotation.AnnotationTypeMappings","1.824 B (0 %)","76 (0 %)"
